Kod;Nazwa;Year2015;Year2016;Year2017;Year2018;Year2019;Year2020;Year2021;Year2022;Year2023;Year2024
261000;Powiat m. Jelenia Góra;81190;80889;80325;79686;79200;77981;77011;76184;75429;74636
262000;Powiat m. Legnica;101133;100769;100455;100081;99486;95771;94646;93473;92568;91335
264000;Powiat m. Wrocław;634404;637075;638364;639258;641607;675446;672826;673923;674132;673531
265000;Powiat m. Wałbrzych od 2013;116069;114930;114065;113100;111896;105639;103985;102490;101082;99463
461000;Powiat m. Bydgoszcz;356961;354990;353215;351254;349021;341716;336665;331898;328370;324984
462000;Powiat m. Grudziądz;96887;96111;95781;95354;94732;91801;90617;89832;89081;88214
463000;Powiat m. Toruń;202939;202591;202495;202482;201798;201294;197989;196298;195263;194273
464000;Powiat m. Włocławek;113432;112635;112106;111319;110287;105966;104352;102730;101450;100125
661000;Powiat m. Biała Podlaska;57498;57389;57339;57498;57264;55784;55362;54926;54581;54178
662000;Powiat m. Chełm;64625;63949;63529;63029;62331;60164;59312;58357;57576;56832
663000;Powiat m. Lublin;341368;340745;340230;339811;339770;336075;334301;331991;330447;328868
664000;Powiat m. Zamość;64969;64746;64485;64099;63511;60813;59950;59274;58685;57924
861000;Powiat m. Gorzów Wielkopolski;124116;123911;123963;124177;123691;121278;119638;117379;115847;114567
862000;Powiat m. Zielona Góra;138763;138898;139560;140113;140874;140536;139972;139503;139132;138887
1061000;Powiat m. Łódź;703186;698688;693797;687702;682679;678104;668712;661329;655279;648711
1062000;Powiat m. Piotrków Trybunalski;75363;74905;74469;74004;73370;69809;68673;67734;66901;66211
1063000;Powiat m. Skierniewice;48562;48304;48297;48296;48106;46825;46395;45773;45403;44976
1261000;Powiat m. Kraków;762508;762448;766739;769498;774839;801546;801242;802781;804237;807644
1262000;Powiat m. Nowy Sącz;83820;83829;83947;83958;83813;81639;81137;80756;80446;79985
1263000;Powiat m. Tarnów;110956;110381;109842;109358;108580;107275;105840;104454;103515;102582
1461000;Powiat m. Ostrołęka;52554;52408;52308;52461;52071;50150;49643;48995;48471;47922
1462000;Powiat m. Płock;121879;121468;121033;120403;119709;115695;114271;113146;111927;110495
1463000;Powiat m. Radom;216606;215653;214368;213910;212230;203495;201049;198754;196918;194916
1464000;Powiat m. Siedlce;76686;77072;77180;77732;77990;76916;76296;75820;75502;75072
1465000;Powiat m. st. Warszawa;1739586;1748916;1758143;1769529;1783321;1861187;1860205;1862345;1861644;1862402
1661000;Powiat m. Opole;119465;118938;128142;128224;128208;127713;127259;126623;126300;125812
