Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
III 2006;3070;2530;4541;5756;2508;2425;7114;3160;2740;3414;3164;3752;2851;3190;7179;5261
IV 2006;3408;2784;5406;6496;2649;3127;7383;3562;3316;3925;3585;4462;3734;3857;8751;5857
I 2007;3986;3607;6115;7211;3704;3904;8369;3986;4130;5049;3349;6104;4187;4735;9316;6747
II 2007;4418;3932;6602;6747;4152;4121;8272;4699;4609;5352;4150;6698;4647;4959;9740;7038
III 2007;4580;4150;6740;7188;4151;4231;8255;4815;4721;5394;4136;6387;4814;5094;10078;7194
IV 2007;4637;3956;6824;6917;4473;4300;8140;4962;4686;5170;4363;6472;4849;5297;9952;7266
I 2008;4738;3685;6795;6984;4739;4528;7979;5141;4737;5200;4235;6235;4901;5124;9850;7138
II 2008;4853;4202;6704;6854;4638;4478;7934;5071;4668;5014;4068;6097;4824;5180;9783;7159
III 2008;4777;4151;6608;6960;4555;4574;7180;5111;4544;4964;4187;5980;4790;5174;9679;6922
IV 2008;4744;4240;6793;7059;4360;4356;7251;5091;4873;4947;4143;5954;4640;5079;10196;6859
I 2009;4613;4095;6648;7104;4340;4467;6864;5062;4730;4730;4235;5979;4683;4965;9626;6785
II 2009;4614;4017;6644;6949;4288;4287;6678;5017;4431;4710;4283;6216;4684;4860;10133;6749
III 2009;4641;4244;6449;6901;4370;4499;6564;5010;4643;4733;4083;5970;4641;4964;9705;6842
IV 2009;4620;4203;6350;6991;4181;4434;6734;4977;4400;4720;4154;5924;4681;4834;9671;6758
I 2010;4729;4202;6465;7032;4136;4605;6916;5028;4558;4763;4166;6074;4611;4868;9901;6725
II 2010;4709;4270;6491;6901;4256;4506;6937;5037;4407;4709;4194;6122;4654;4844;9982;6678
III 2010;4752;4233;6286;6700;4323;4626;6909;5063;4406;4759;4295;6012;4615;4864;9788;6562
IV 2010;4809;4005;6494;6510;4108;4707;6964;5139;4457;4726;4137;6047;4696;4760;9767;6602
I 2011;4862;4055;6536;6522;4234;4678;7206;5161;4469;4719;4222;5940;4726;4759;9706;6576
II 2011;4810;4153;6573;6493;3974;4622;7246;5199;4363;4698;4246;5911;4777;4733;9472;6582
III 2011;4778;4058;6472;6430;3965;4436;6949;5149;4238;4679;4456;5804;4729;4707;9397;6541
IV 2011;4754;3923;6242;6463;4152;4536;6989;5050;3990;4625;4175;5737;4791;4704;9363;6397
I 2012;4724;3885;6384;6370;4053;4510;6776;5057;4006;4628;4171;5604;4801;4586;9111;6367
II 2012;4674;3932;6310;6475;4122;4545;6724;5076;4033;4632;3981;5535;4905;4431;9035;6307
III 2012;4588;3606;6274;6451;4057;4464;6617;5065;3794;4544;4066;5519;4935;4442;8900;6182
IV 2012;4583;3882;6240;6475;4138;4469;6648;4995;3854;4465;4013;5446;4912;4336;8768;6100
I 2013;4576;3639;6278;6608;3955;4367;6644;4491;3975;4365;4074;5406;4908;4434;8606;5959
II 2013;4546;3713;6152;6337;4001;4338;6489;4858;4058;4425;4062;5657;4890;4171;8638;5986
III 2013;4520;3607;6007;6618;3973;4330;6585;4935;4018;4390;4246;5628;4910;4152;8544;5984
IV 2013;4494;3736;6136;6629;3928;4215;6537;4901;3978;4418;4174;5718;4934;4247;8627;6098
I 2014;4510;4019;6103;6410;3915;4215;6754;4886;3984;4443;3975;5830;4946;4370;8622;6096
II 2014;4450;3536;6073;6492;4046;4186;6682;4884;3915;4420;4231;5742;4908;4294;8691;5899
III 2014;4443;3758;5858;6657;4027;4174;6644;4831;3907;4405;4097;5806;4933;4273;8626;5980
IV 2014;4445;3830;5873;6466;3918;4148;6860;4854;3892;4316;4109;5694;4953;4307;8636;6017
I 2015;4423;3685;5982;6324;3928;4053;7030;4844;3923;4348;4141;5848;4959;4305;8608;5901
II 2015;4463;3765;5949;6187;3978;4029;6978;4953;3865;4301;4157;5831;5010;4393;8553;5812
III 2015;4402;3949;5993;6312;3936;4067;6948;4884;3872;4340;4200;5409;4973;4196;8565;5930
IV 2015;4456;3774;6133;6402;3909;4035;6795;4893;3850;4310;4232;5730;4954;4218;8655;5914
I 2016;4488;3875;6193;6407;3920;4026;6827;4947;3940;4374;4187;5941;4916;4413;8658;5951
II 2016;4536;3834;6319;6795;3971;4004;6756;4990;4009;4380;4221;6040;4914;4349;8721;5984
III 2016;4578;3909;6226;6730;3988;4058;6837;4992;4036;4353;4366;6093;4954;4381;8778;6062
IV 2016;4568;4048;6455;6654;3957;4008;6910;4980;4096;4384;4254;6123;4953;4350;8709;6165
I 2017;4580;4123;6566;6822;3929;4091;6859;5047;4149;4437;4395;5955;4995;4431;8816;6253
II 2017;4597;4195;6970;7186;3945;4065;6992;5073;4203;4471;4522;6080;5023;4453;8885;6267
III 2017;4597;4285;7035;7204;3899;4117;7205;5102;4241;4449;4581;6053;5121;4650;9009;6293
IV 2017;4746;4328;7345;7383;4013;4189;7593;5142;4314;4516;4586;6349;5225;4633;9235;6365
I 2018;4921;4460;7727;7301;4315;4309;7767;5139;4432;4654;4787;6525;5394;4752;9346;6423
II 2018;5059;4488;8567;8006;4146;4364;8006;5339;4642;4728;4972;6652;5414;4933;9347;6485
III 2018;5134;4526;8740;8560;4173;4365;8059;5295;4711;4867;5006;6763;5476;4975;9612;6491
IV 2018;5333;4684;8856;8490;4734;4541;8466;5507;4811;5025;5192;6939;5659;5177;10277;6571
I 2019;5718;4789;9415;8668;4953;4750;8697;5641;5053;5254;5236;6959;5851;5453;10287;7339
II 2019;5743;4970;9345;9440;4914;4759;8899;5733;5116;5401;5313;7073;6132;5657;10575;7441
III 2019;5794;5252;9956;9139;5618;4797;8913;5965;5203;5536;5325;7188;6243;5786;10816;7572
IV 2019;6063;5430;9893;9078;5431;5079;9109;6171;5392;5674;5540;7639;6552;5857;11192;7720
I 2020;6245;5553;10573;8583;5781;5447;9518;6666;5465;5813;5849;7809;6904;6159;11656;8158
II 2020;6488;5851;10332;8563;5821;5451;9672;6835;5432;6016;5934;7823;7006;6218;11521;8024
III 2020;6312;6013;10264;8685;6084;5439;9542;6808;5464;5958;5817;7851;7067;6302;11713;8303
IV 2020;6398;6107;10523;9563;5949;5531;9820;6970;5721;6032;5799;7808;7133;6459;11893;8597
I 2021;6700;6201;10529;9029;6487;5671;9899;7285;5905;6130;5900;7943;7246;6609;12221;8715
II 2021;6892;6252;10819;9414;6527;5739;10231;7410;6012;6334;6034;8137;7384;6830;12463;8982
III 2021;7133;6282;11156;9919;6609;6100;10614;7694;6683;6510;6106;8322;7553;7212;12953;9160
IV 2021;7448;6477;11444;10156;6962;6263;11416;8284;6667;7056;6146;8952;7836;7666;13305;9327
I 2022;8160;6753;12012;10834;7251;6651;11845;8425;7018;7324;6620;9402;8126;7917;13366;10075
II 2022;8456;6921;12097;10884;7212;6844;12106;8566;6974;7536;6809;9517;8519;8155;14076;10453
III 2022;8324;7058;11931;10749;7305;6922;12247;8539;7164;7554;7064;9438;8600;8101;13484;10591
IV 2022;8377;7052;12219;11069;7400;6883;12433;8546;7203;7547;7039;9543;8742;7921;13499;10672
I 2023;8442;7252;12223;10931;7267;6916;12649;8618;7373;7581;7363;9914;8836;7988;13830;10978
II 2023;8576;7263;12568;11091;7353;6990;13026;8694;7526;7773;7526;9956;9083;8078;14277;11296
III 2023;8834;7461;12995;11361;7699;7372;14186;9018;7810;7972;7700;10667;9364;8406;14953;12090
IV 2023;9343;7819;13678;11842;7835;7566;15147;9433;8166;8415;8272;11409;9802;8853;16660;12809
I 2024;10184;8047;14064;12245;8037;8213;16417;9852;8555;8766;8671;11719;10282;9261;17560;13226
II 2024;10492;8254;14266;12691;8547;8294;16816;10268;8989;9086;8967;11979;10728;9563;18677;13678
III 2024;10277;8264;14338;12807;8912;8485;16630;10383;8790;8962;9148;11999;10761;9482;18709;13790
IV 2024;10374;8186;14316;12998;8858;8529;16552;10312;8655;9072;9000;11769;10804;9606;18685;13708
I 2025;10382;8453;14496;12948;8901;8842;16428;10532;8869;9041;9462;11831;10937;9659;18481;13753
