Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
III 2006;3008;2663;3494;4467;3523;2835;6816;3022;2860;2640;3299;3621;2656;3234;5605;3211;2499
IV 2006;3117;2811;5252;5284;3735;3014;7089;3304;3642;2869;3343;4726;3013;3575;6186;3777;2769
I 2007;3500;3017;5490;5797;3806;3241;7192;3309;4209;2960;;6445;3469;3831;7302;7063;2500
II 2007;4422;4092;7137;6992;5094;3018;7856;3503;5403;3318;3307;7243;3517;4933;7523;5289;3258
III 2007;4651;4466;7440;7238;5698;4766;8060;4125;5212;3588;4253;5426;4124;5121;7879;5836;4015
IV 2007;5079;4582;6294;7495;5718;4629;7985;4597;5076;3806;4442;6865;4365;4697;8571;5625;3823
I 2008;5160;4540;6473;7301;5791;4408;8000;4861;5103;4389;4253;7598;4163;5362;8535;5268;4108
II 2008;4973;4982;7740;7209;5113;4880;8027;4531;5041;4324;3917;7070;4177;5448;8611;5349;3842
III 2008;5141;4670;7042;6694;5154;4918;7814;5073;5214;4524;3916;6854;3947;5455;8325;5891;3892
IV 2008;5177;4749;6193;6384;5772;4609;7518;5217;5542;4353;3765;6768;4401;5663;8149;5513;3771
I 2009;5005;5023;5309;6241;4995;4822;7373;4746;4746;4419;3776;6365;3965;5174;7543;5218;3646
II 2009;4976;4835;5907;5891;5411;4716;7169;4693;5101;4485;3471;6284;3849;4958;7461;5095;3366
III 2009;4787;4757;5804;5504;4524;4678;6866;4437;4755;4297;3669;6146;3969;5406;7585;5105;3500
IV 2009;4838;4694;5476;5774;4866;4778;6981;4830;5275;4494;3492;6130;3843;5057;7680;5472;3459
I 2010;4790;4524;5839;5495;5303;4798;6985;4495;5020;4877;3627;6436;3837;4916;8173;5628;3511
II 2010;4802;4856;5678;5278;4511;4829;6920;4535;4846;4602;4125;6632;4039;4751;7974;5938;3538
III 2010;4732;4954;5272;5461;5071;4523;6834;4821;4936;5025;4054;6304;4191;4840;7940;5614;3563
IV 2010;4755;4606;5216;5617;4914;4803;6789;4819;4905;5010;3817;6591;4572;4794;7441;5735;3663
I 2011;4821;4730;5692;6004;5329;4790;6886;4896;5066;4955;4759;6264;4264;4855;8037;5905;3651
II 2011;4782;4635;5661;6205;4417;4967;7082;4827;5123;4963;4776;6536;4202;4819;7527;5949;3671
III 2011;4843;4575;5479;6430;4697;4804;6958;5133;4907;4896;4726;6155;4178;5048;7423;6098;3679
IV 2011;4601;4626;5506;6313;4604;4768;6711;4644;4793;4703;4676;6219;4239;4847;7226;5720;3747
