Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
III 2006;2 529;2 424;3 926;2 782;2 028;2 355;5 193;2 769;1 905;3 126;2 777;3 332;2 591;2 888;6 232;4 734
IV 2006;2 998;2 359;4 072;4 561;2 160;2 673;6 349;2 884;2 160;3 665;2 885;3 903;2 935;3 133;7 143;4 932
I 2007;3 590;2 836;4 787;4 966;2 542;3 022;6 267;3 373;3 360;4 082;3 295;4 523;3 916;3 755;7 730;5 732
II 2007;4 009;3 424;5 806;5 817;3 013;3 661;7 309;3 870;3 749;4 687;3 771;5 538;3 918;4 083;8 696;6 217
III 2007;4 635;3 913;6 059;6 483;3 870;3 670;7 193;4 265;3 981;4 716;3 958;5 805;4 073;4 321;9 137;6 862
IV 2007;4 637;3 758;6 267;6 069;3 612;3 876;6 715;4 713;4 039;4 938;3 967;5 948;4 424;4 647;9 034;5 965
I 2008;4 168;3 801;6 074;6 321;3 685;4 078;6 777;4 718;4 160;4 854;3 712;6 357;4 169;4 438;8 921;5 758
II 2008;4 404;3 984;6 087;6 119;3 968;4 127;6 629;4 890;3 961;4 726;3 729;5 858;4 187;4 699;8 546;5 891
III 2008;4 604;3 957;5 952;5 816;3 622;4 122;6 294;4 885;3 780;4 560;3 797;6 143;4 366;4 794;8 528;6 105
IV 2008;4 601;3 917;6 048;6 208;3 952;3 996;6 530;4 859;4 020;4 570;3 700;5 430;4 217;4 651;9 046;5 867
I 2009;4 432;3 876;6 166;6 063;3 777;3 970;6 110;4 805;3 874;4 455;3 772;5 226;4 071;4 616;8 406;5 753
II 2009;4 301;3 541;5 651;5 554;3 563;3 982;6 065;4 650;3 870;4 424;3 814;5 613;4 058;4 426;8 406;5 615
III 2009;4 201;3 885;5 570;5 582;3 541;3 911;5 975;4 589;3 677;4 478;3 582;5 221;3 896;4 330;7 949;5 927
IV 2009;4 086;3 964;5 653;5 797;3 303;4 167;6 155;4 926;3 636;4 541;3 649;5 181;4 096;4 320;8 497;5 753
I 2010;4 243;3 850;6 052;5 981;3 722;4 049;6 182;4 720;3 933;4 475;3 617;5 397;4 134;4 175;8 620;5 871
II 2010;4 369;3 596;5 798;5 416;3 455;4 230;6 115;4 959;3 845;4 520;3 919;5 575;4 232;4 303;8 933;6 102
III 2010;4 286;3 866;5 579;5 470;3 632;4 114;6 296;4 930;3 874;4 467;3 735;5 496;4 359;4 392;8 493;5 990
IV 2010;4 169;3 814;5 433;5 317;3 528;4 223;6 284;4 774;3 924;4 404;3 742;5 246;4 224;4 346;8 024;6 050
I 2011;4 391;3 945;5 383;5 481;3 607;4 285;6 394;5 019;3 738;4 563;4 010;5 520;4 333;4 153;7 915;5 883
